Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
ADP,"Automatic Data Processing, Inc.",B,Conservative,B,C,C,B,B,B,C,F,C,A,88.36,28.30,2.00,270.00,200.00,2.21,1.30,4.00,8.00,2.44,10.45,12.50,"Provides technology-based human capital management solutions","Data Processing Services",54,1,11,10,14
ADSK,"Autodesk, Inc.",B,Conservative,B,B,C,A,A,C,C,D,B,A,42.81,52.60,0.00,234.00,164.00,1.43,2.80,1.00,8.40,1.55,8.61,14.10,"Designs and develops multimedia software products","Packaged Software",336,17,159,50,137
AEE,"Ameren Corporation",B,Conservative,B,C,B,B,B,B,B,D,F,B,22.28,20.50,3.00,99.00,75.00,0.97,11.30,1.00,4.00,1.00,2.61,6.60,"Provides electricity generation and gas distribution services","Electric Utilities",70,18,14,19,22
AFL,"Aflac Incorporated",B,Conservative,B,C,F,D,D,B,B,F,D,B,37.71,9.30,2.00,74.00,53.00,1.48,15.30,4.00,-11.70,1.41,-5.03,4.50,"Provides supplemental life and health insurance services","Multi-Line Insurance",35,4,23,14,26
AIG,"American International Group, Inc.",D,Conservative,D,C,F,D,D,C,C,F,A,A,34.68,3.70,2.00,65.00,47.00,1.30,5.70,11.00,3.80,1.49,14.85,22.60,"Provides property and casualty & life insurance, retirement, mortgage and other financial services","Multi-Line Insurance",35,5,15,9,9
AIRC,"Apartment Income REIT Corp",D,Conservative,F,C,C,C,C,F,A,F,B,A,5.08,5.84,5.00,55.04,33.70,2.39,991.62,206.29,13.67,-0.01,-100.28,99.89,"Acts as a Real Estate Investment Trust/REIT","Real Estate Investment Trusts",209,51,60,120,5
AIZ,"Assurant, Inc.",F,Conservative,F,C,D,D,D,D,B,D,D,C,5.54,21.20,2.00,193.00,105.00,3.75,19.20,2.00,4.70,2.81,-25.08,13.40,"Provides life, property, casualty and other insurance products and services","Multi-Line Insurance",35,18,13,25,17
AJG,"Arthur J. Gallagher & Co.",B,Conservative,A,C,D,B,B,B,C,D,B,B,38.14,34.60,1.00,201.00,149.00,2.81,3.10,2.00,11.40,3.00,6.61,13.40,"Provides insurance brokerage and third-party claims settlement and administration services.","Insurance Brokers/Services",19,3,5,5,9
AKAM,"Akamai Technologies, Inc.",D,Conservative,F,C,D,C,C,C,B,D,B,B,11.52,24.80,0.00,122.00,71.00,1.39,8.70,910.80,0.80,1.32,-5.02,8.10,"Provides solutions to power and protect digital experiences","Internet Software/Services",119,15,42,12,44
ALB,"Albemarle Corporation",B,Moderate,B,B,A,C,C,B,C,F,B,A,24.43,9.10,1.00,325.00,188.00,2.38,4.40,2.00,144.30,7.29,206.41,4.10,"Manufactures and markets specialty polymers, chemicals and related products","Chemicals: Specialty",59,6,2,1,32
ALLY,"Ally Financial Inc",D,Conservative,F,C,B,D,D,D,B,F,B,B,6.67,4.49,4.91,45.34,22.29,2.03,11.53,2061.62,-3.44,0.89,-56.21,8.97,"Operates as a bank holding company which provides automotive financing services","Regional Banks",243,14,171,190,57
AMAT,"Applied Materials, Inc.",B,Conservative,B,C,C,C,C,B,C,F,B,A,103.61,16.50,1.00,141.00,74.00,1.85,5.10,6.00,2.40,1.84,-0.60,3.80,"Manufactures and markets equipment and software for the semiconductor industries","Industrial Machinery",85,1,44,26,55
AMBP,"Ardagh Metal Packaging S.A",D,Conservative,F,C,D,C,C,F,F,C,F,A,2.29,9.80,8.00,9.00,4.00,0.08,-40.60,1.00,-0.90,0.02,-81.16,13.90,"Manufactures and supplies metal beverage cans",Containers/Packaging,24,17,9,21,1
AMCR,"Amcor PLC",B,Conservative,B,B,C,A,A,C,C,A,C,A,15.88,20.20,4.00,13.00,11.00,0.20,6.50,3.00,-0.20,0.18,-9.61,1.70,"Manufactures and wholesales packaging products",Containers/Packaging,24,2,7,6,12
AME,"AMETEK, Inc.",B,Conservative,B,C,C,B,B,B,C,D,C,B,31.05,27.00,1.00,147.00,107.00,1.33,3.40,1.00,5.50,1.41,6.12,7.70,"Manufactures and supplies electronic instruments and electromechanical devices","Electrical Products",57,3,23,9,16
AMED,"Amedisys, Inc.",F,Conservative,F,C,D,B,C,F,B,D,C,B,2.36,20.00,0.00,178.00,73.00,1.23,19.30,559.20,2.60,0.88,-28.10,1.60,"Provides home health care nursing services","Medical/Nursing Services",61,12,30,10,16
AMN,"AMN Healthcare Services, Inc.",D,Conservative,D,C,F,C,C,C,B,F,B,A,3.50,8.50,0.00,127.00,83.00,3.49,15.80,1.00,-28.20,2.30,-34.11,-13.80,"Provides healthcare staffing and workforce services","Personnel Services",27,4,23,9,21
AMP,"Ameriprise Financial, Inc.",B,Conservative,B,C,D,C,C,A,C,F,B,A,29.63,12.50,2.00,355.00,223.00,5.98,7.30,3.00,0.30,7.31,22.24,15.50,"Provides financial planning, brokerage, asset management and insurance services to individuals, businesses and institutions","Investment Banks/Brokers",43,7,19,10,15
AMRC,"Ameresco, Inc. Class A",D,Moderate,D,D,F,C,C,D,D,C,D,B,2.24,24.20,0.00,83.00,41.00,0.36,-8.90,256.60,-45.90,0.08,-76.62,30.50,"Provides energy utility services and management solutions","Engineering & Construction",46,15,37,21,13
ANET,"Arista Networks, Inc.",A,Conservative,A,B,A,B,A,A,B,D,B,A,50.10,38.20,0.00,163.00,90.00,0.84,16.30,1.00,49.00,1.34,60.08,15.90,"Manufactures and sells cloud networking products","Computer Peripherals",20,1,3,1,9
ANSS,"ANSYS, Inc.",B,Conservative,B,B,C,B,B,B,B,D,C,B,27.05,52.00,0.00,328.00,200.00,1.36,9.80,492.10,14.80,1.61,18.52,10.50,"Develops, markets, and supports software solutions for design analysis & optimization","Packaged Software",336,22,120,39,151
APD,"Air Products and Chemicals, Inc.",B,Conservative,A,C,C,B,B,C,D,F,D,B,61.02,27.10,2.00,325.00,222.00,2.38,-2.40,3.00,5.20,2.65,11.15,10.50,"Manufactures hydrogen, helium, and other industrial gases and chemicals","Chemicals: Specialty",59,2,17,6,21
APH,"Amphenol Corporation Class A",B,Conservative,B,C,C,B,B,C,C,D,C,A,45.67,25.10,1.00,82.00,63.00,0.67,4.20,2.00,-1.80,0.67,-0.41,7.70,"Designs, manufactures and markets electrical, electronic & fiber optic connectors, coaxial and flat-ribbon cable and interconnect systems","Electronic Components",24,1,12,9,6
APTV,"Aptiv PLC",B,Conservative,B,B,C,A,A,D,C,A,C,C,29.05,54.80,0.00,126.00,78.00,0.63,5.90,4.00,9.00,0.90,42.74,32.90,"Develops and manufactures electrical systems for motor vehicles","Auto Parts: OEM",34,1,9,3,10
ARES,"Ares Management Corporation",B,Conservative,B,C,F,A,C,C,B,B,D,B,13.05,90.70,4.00,86.00,54.00,0.65,13.40,701.50,28.40,0.83,27.35,23.40,"Provides investment advice services","Investment Managers",84,9,25,16,10
ASGN,"ASGN Inc",D,Conservative,D,C,C,C,C,D,C,F,B,B,3.99,15.40,0.00,122.00,79.00,1.57,1.00,1.00,5.80,1.42,-9.24,5.30,"Provides IT, digital marketing and placement services","Information Technology Services",109,37,50,41,59
ASML,"ASML Holding NV ADR",B,Moderate,B,C,B,C,C,B,B,F,C,A,250.05,42.64,0.94,709.14,379.13,1.88,8.54,6739.99,75.53,4.49,138.87,26.16,"Engages in the development, production, marketing, selling and servicing of semiconductor equipment",Semiconductors,101,4,4,3,20
ATO,"Atmos Energy Corporation",B,Conservative,B,C,A,C,B,B,D,F,D,B,16.42,20.10,2.00,123.00,98.00,2.37,-0.80,1.00,5.80,2.45,3.54,7.10,"Engages in the distribution, transmission and storage of natural gas","Gas Distributors",20,2,6,6,11
ATSG,"Air Transport Services Group, Inc.",D,Conservative,D,C,C,C,C,F,D,D,F,B,1.46,8.90,0.00,34.00,20.00,0.56,-8.40,510.90,5.20,0.47,-15.48,2.90,"Provides airline operations, aircraft leases, aircraft maintenance and other support services",Airlines,22,12,20,3,17
ATUS,"Altice USA, Inc. Class A",F,Moderate,F,F,D,F,F,F,F,C,F,D,1.54,7.90,0.00,13.00,3.00,0.43,-310.30,2.00,-4.30,0.04,-90.05,12.00,"Operates as a holding company whose subsidiaries provides broadband, video, telephony and mobile services","Major Telecommunications",20,13,12,13,8
ATVI,"Activision Blizzard, Inc.",B,Conservative,B,C,C,C,C,C,B,C,B,B,61.95,41.20,1.00,81.00,71.00,0.64,22.80,1.00,21.20,0.52,-18.97,9.10,"Develops and publishes interactive entertainment content and services","Packaged Software",336,8,84,91,156
AVB,"AvalonBay Communities, Inc.",D,Conservative,F,C,C,C,C,D,A,F,D,B,22.60,19.89,4.00,258.26,158.00,1.87,38.66,670.36,24.05,1.08,-42.46,-9.43,"Acquires, develops, builds and manages multifamily apartment communities","Real Estate Investment Trusts",209,11,27,97,116
AVGO,"Broadcom Inc.",B,Conservative,A,B,B,A,A,B,C,F,C,A,263.12,24.07,2.86,641.47,427.10,9.07,1.61,8686.30,7.20,10.14,11.78,8.49,"Manufactures digital and analog semiconductor products",Semiconductors,101,3,26,17,37
AWI,"Armstrong World Industries, Inc.",D,Conservative,D,C,C,B,B,D,D,D,C,A,3.10,15.80,1.00,95.00,68.00,1.02,-3.20,310.90,10.00,1.09,6.67,14.70,"Designs and manufactures residential and commercial and residential ceiling, wall and suspension system solutions","Miscellaneous Manufacturing",14,4,1,3,4
AXON,"Axon Enterprise Inc",A,Conservative,A,B,A,C,C,A,A,F,C,B,15.23,105.00,0.00,222.00,84.00,0.45,37.50,321.60,25.40,0.55,21.76,32.50,"Develops and manufactures advanced conducted electrical weapons and software","Aerospace & Defense",62,13,10,7,7
AZN,"Astrazeneca PLC Sponsored ADR",B,Conservative,B,C,D,C,C,C,C,A,C,B,203.36,61.80,2.00,72.00,53.00,0.95,2.70,10.00,-5.30,0.87,-8.33,13.90,"Engages in manufacturing of pharmaceutical products","Pharmaceuticals: Major",442,7,130,27,43
BAC,"Bank of America Corp",D,Conservative,D,C,A,C,B,D,B,D,B,B,222.47,8.70,3.00,44.00,28.00,0.80,10.20,25.00,9.70,0.84,5.14,9.20,"Operates as a bank holding company whose subsidiaries provides banking and non-bank financial services","Major Banks",89,2,47,47,27
BAH,"Booz Allen Hamilton Holding Corporation Class A",B,Conservative,B,C,C,D,D,B,C,D,B,A,11.71,27.50,2.00,111.00,79.00,0.86,2.20,2.00,6.50,0.94,9.14,9.00,"Operates as a holding company which offers management & technology consulting services","Miscellaneous Commercial Services",167,13,53,15,64
BALL,"Ball Corporation",D,Conservative,F,D,D,D,D,D,D,D,D,A,16.17,23.10,2.00,94.00,47.00,0.77,-19.20,3.00,-3.20,0.51,-33.32,13.00,"Manufactures and supplies aerosol containers, aluminium slugs and cups and manufactures spacecraft, components, and instruments for national security aerospace markets",Containers/Packaging,24,1,15,13,2
BBD,"Banco Bradesco S.A. Sponsored ADR Pfd",D,Conservative,D,C,A,F,C,F,F,C,A,C,13.44,6.60,1.00,4.00,2.00,0.14,-64.90,5.00,6.30,0.07,-48.07,17.80,"Provides commercial banking services","Major Banks",89,27,55,78,10
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A. Sponsored AD",A,Conservative,A,B,B,C,B,A,C,B,A,B,42.57,6.20,6.00,8.00,4.00,0.25,7.00,7.00,14.70,0.34,33.93,0.40,"Provides commercial banking services","Major Banks",89,15,40,19,61
BCE,"BCE Inc.",D,Conservative,D,C,D,C,C,D,D,D,D,B,39.84,19.10,6.00,59.00,41.00,0.69,-0.40,4.00,-1.60,0.62,-10.77,5.30,"Provides telecommunication services","Major Telecommunications",20,3,11,5,10
BF.A,"Brown-Forman Corporation Class A",B,Conservative,B,C,C,D,D,D,F,C,D,A,29.76,33.70,1.00,76.00,59.00,0.31,-54.00,987.60,-0.80,0.43,39.07,8.80,"Engages in the production and marketing of consumer beverage alcohol brands","Beverages: Alcoholic",14,5,5,1,8
BFAM,"Bright Horizons Family Solutions, Inc.",D,Conservative,D,C,B,C,B,D,C,C,C,C,4.48,56.80,0.00,138.00,56.00,0.47,1.60,530.20,15.20,0.39,-16.70,20.80,"Provides child care and educational services","Miscellaneous Commercial Services",167,27,31,42,31
BIIB,"Biogen Inc.",B,Conservative,A,C,D,A,A,C,B,F,B,A,37.92,12.60,0.00,307.00,188.00,3.62,16.10,2.00,-6.90,3.39,-6.39,0.20,"Manufactures and markets therapies for neurological and neurodegenerative diseases",Biotechnology,335,4,90,3,14
BKNG,"Booking Holdings Inc.",A,Conservative,A,B,A,A,A,A,B,F,C,A,92.42,31.30,0.00,2.00,1.00,3.90,11.80,3.00,40.30,10.54,170.31,21.00,"Provides online travel agency, advertising and related services","Other Consumer Services",52,1,7,1,19
BKU,"BankUnited, Inc.",D,Conservative,F,C,A,D,D,D,F,D,A,B,1.61,5.99,2.94,45.65,21.27,0.79,-24.91,265.79,19.22,0.97,23.19,4.09,"Operates as a bank holding company with interest in providing commercial banking services","Regional Banks",243,57,78,71,111
BLDR,"Builders FirstSource, Inc.",B,Conservative,B,C,D,B,B,C,A,F,B,A,11.12,4.80,0.00,89.00,50.00,3.90,36.10,3.00,-37.10,1.53,-60.71,-2.00,"Manufactures and distributes building products and services","Home Improvement Chains",5,3,5,5,4
BMO,"Bank of Montreal",D,Conservative,D,C,A,F,D,C,C,F,C,B,60.50,5.50,4.00,122.00,83.00,2.52,0.80,5.00,16.40,2.40,-4.66,1.80,"Provides banking and financial services to individuals and institutions","Major Banks",89,9,36,59,57
BNS,"Bank of Nova Scotia",D,Conservative,F,C,A,D,D,D,D,F,B,B,57.11,7.70,6.00,75.00,46.00,1.70,-9.70,5.00,-3.90,1.38,-18.98,-1.10,"Operates as a diversified financial services institution that provides a wide range of financial products and services to retail, commercial and corporate customers","Major Banks",89,10,72,72,67
BOH,"Bank of Hawaii Corp",D,Conservative,F,C,B,C,C,D,C,D,C,A,2.03,9.33,3.61,86.98,47.60,1.32,5.86,179.84,6.53,1.23,-6.67,-3.83,"Operates as a bank holding company with interests in providing financial services to businesses, consumers and governments","Regional Banks",243,44,134,145,173
BRKR,"Bruker Corporation",B,Conservative,B,B,D,A,B,B,C,C,C,A,10.61,36.30,0.00,77.00,49.00,0.49,2.40,639.60,7.50,0.55,12.03,10.90,"Manufactures analytical and medical instruments","Medical Specialties",246,31,93,13,50
BSX,"Boston Scientific Corporation",B,Conservative,A,B,D,A,A,C,D,A,B,C,68.73,107.30,0.00,49.00,35.00,0.39,-4.60,3.00,4.30,0.43,11.10,12.00,"Develops, manufactures and markets medical devices","Medical Distributors",12,1,3,2,2
BSY,"Bentley Systems, Incorporated Class B",B,Conservative,B,C,C,C,C,D,C,A,C,A,11.84,75.40,0.00,45.00,28.00,0.24,3.40,298.70,8.40,0.21,-13.33,10.70,"Develops and markets software solutions for the infrastructure sector","Packaged Software",336,38,158,83,150
BURL,"Burlington Stores, Inc.",B,Moderate,B,B,C,A,A,D,B,B,C,A,13.66,59.80,0.00,234.00,110.00,0.54,8.30,2.00,13.00,0.93,72.44,36.40,"Sells men's, women's and children's apparel, footwear, beauty products, accessories, home products, toys, gifts & coats","Apparel/Footwear Retail",33,3,2,1,4
BWA,"BorgWarner Inc.",B,Conservative,A,B,C,A,A,C,B,D,C,B,10.71,11.46,1.69,50.81,31.40,1.05,17.15,4113.06,6.17,1.09,3.41,12.35,"Manufactures combustion, hybrid and electric technologies for light, medium and heavy duty vehicles","Trucks/Construction/Farm Machinery",36,8,22,20,15
BXMT,"Blackstone Mortgage Trust, Inc. Class A",D,Conservative,F,C,A,F,F,B,B,D,F,C,2.95,12.03,12.00,32.90,17.20,0.62,20.99,169.96,27.10,0.76,22.20,-3.72,"Acts as a real estate investment trust which originates and acquires commercial mortgage loans and related investments","Real Estate Investment Trusts",209,66,24,19,92
BXP,"Boston Properties, Inc.",F,Conservative,F,C,C,D,C,B,A,F,D,B,8.01,9.47,6.00,132.51,51.10,0.91,29.22,773.26,2.51,0.48,-47.47,-17.04,"Operates as a real estate investment trust which operates office spaces","Real Estate Investment Trusts",209,37,131,100,135
CABO,"Cable One, Inc.",F,Conservative,F,D,D,F,F,B,F,F,D,B,3.77,18.10,2.00,1.00,621.00,26.85,-207.20,420.50,-1.50,13.52,-49.66,17.70,"Provides cable television, phone and internet access services","Cable/Satellite TV",10,8,4,5,2
CADE,"Cadence Bank",D,Conservative,D,C,A,C,C,D,F,C,C,B,3.84,8.60,4.00,31.00,21.00,0.60,-25.80,473.40,7.50,0.66,10.56,7.90,"Provides banking services","Major Banks",89,40,52,44,31
CAG,"Conagra Brands, Inc.",A,Conservative,A,B,C,A,A,A,B,B,C,B,16.93,25.10,3.00,41.00,31.00,0.58,22.20,3.00,6.20,0.64,10.05,7.90,"Manufactures and markets processed and packaged foods","Food: Specialty/Candy",43,7,19,5,21
CARR,"Carrier Global Corp.",B,Conservative,B,C,D,C,C,B,D,F,C,A,36.52,10.70,2.00,48.00,34.00,0.54,0.00,5.00,8.40,0.48,-10.61,10.90,"Manufactures, sells and installs HVAC, refrigeration, fire and security solutions","Industrial Machinery",85,8,26,33,29
CAT,"Caterpillar Inc.",B,Conservative,B,C,B,D,C,A,D,F,C,A,111.02,17.00,1.97,264.54,162.44,2.88,-3.90,15002.41,10.40,3.74,29.97,12.21,"Manufactures construction and mining equipment, diesel and natural gas engines and industrial gas turbines","Trucks/Construction/Farm Machinery",36,2,17,6,16
CCK,"Crown Holdings, Inc.",D,Conservative,F,C,D,C,C,D,B,D,D,A,9.20,12.90,1.00,130.00,67.00,2.01,10.90,3.00,-2.50,1.06,-47.26,8.10,"Designs, manufactures, and sells packaging products for consumer goods",Containers/Packaging,24,6,11,18,7
CDNS,"Cadence Design Systems, Inc.",B,Conservative,A,B,B,B,A,A,C,D,C,A,56.41,67.00,0.00,208.00,136.00,1.17,4.40,1.00,11.40,1.26,7.30,14.60,"Provides software services for semiconductor and electronics systems industries","Packaged Software",336,12,140,56,134
CDW,"CDW Corporation",B,Conservative,A,C,D,A,B,C,C,F,C,A,25.48,23.10,1.00,214.00,153.00,2.20,0.70,5.00,-6.30,2.27,3.25,7.60,"Provides information technology services","Information Technology Services",109,9,77,28,55
CF,"CF Industries Holdings, Inc.",D,Conservative,D,C,D,B,B,F,D,F,B,A,13.87,4.30,2.00,118.00,71.00,4.21,-1.30,2.00,-29.50,2.79,-33.65,-22.00,"Manufactures and distributes nitrogen fertilizer products","Chemicals: Agricultural",22,5,11,5,11
CFG,"Citizens Financial Group, Inc.",D,Conservative,D,C,A,C,B,C,D,D,B,B,15.19,7.60,4.00,50.00,31.00,0.93,-4.30,2.00,31.20,1.16,24.51,12.80,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,25,18,32,16
CG,"Carlyle Group Inc",D,Moderate,D,C,F,D,D,C,C,D,D,A,11.02,9.10,4.00,49.00,25.00,0.74,4.50,907.70,16.40,0.80,7.63,3.00,"Provides alternative asset management services","Investment Managers",84,10,36,30,50
CHGG,"Chegg, Inc.",D,Moderate,F,C,D,D,D,D,C,D,B,A,2.06,9.00,0.00,37.00,16.00,0.32,5.00,185.20,-8.40,0.26,-20.16,5.50,"Operates learning platform for students","Miscellaneous Commercial Services",167,43,99,45,76
CHTR,"Charter Communications, Inc. Class A",D,Conservative,D,C,D,C,C,C,D,F,D,A,53.43,11.40,0.00,577.00,303.00,6.90,-12.90,13.00,3.10,7.60,10.17,13.30,"Provides broadband communications services","Cable/Satellite TV",10,2,2,1,3
CI,"Cigna Group",B,Conservative,A,C,D,B,B,C,C,F,C,B,80.48,12.60,1.00,339.00,239.00,6.01,2.00,45.00,3.40,5.26,-12.45,11.00,"Provides health insurance services","Managed Health Care",9,3,7,6,6
CL,"Colgate-Palmolive Company",B,Conservative,B,C,C,F,D,C,C,C,D,A,59.94,34.00,2.00,83.00,68.00,0.74,0.70,4.00,3.70,0.71,-3.78,7.70,"Manufactures and sells oral, personal, home care and pet nutritional products","Household/Personal Care",22,4,7,7,12
CLX,"Clorox Company",B,Conservative,A,B,D,A,A,B,A,F,D,A,19.01,43.90,3.00,158.00,123.00,1.31,48.70,1.00,0.20,1.19,-8.93,14.80,"Manufactures and retails vitamins, minerals and supplement products and detergent & cleaning products","Household/Personal Care",22,7,10,9,6
CM,"Canadian Imperial Bank of Commerce",D,Conservative,F,C,A,D,D,B,B,D,C,B,37.85,8.00,6.00,65.00,40.00,1.38,11.80,4.00,-0.80,1.23,-10.77,9.10,"Provides personal, commercial & business banking and financial services","Major Banks",89,17,68,65,28
CMCSA,"Comcast Corporation Class A",D,Conservative,D,C,D,B,B,C,C,C,D,C,152.05,30.30,3.00,48.00,29.00,0.86,5.70,29.00,-4.70,0.83,-3.16,7.40,"Provides cable television, internet and broadcasting services","Cable/Satellite TV",10,1,6,2,4
CME,"CME Group Inc. Class A",D,Conservative,F,C,C,B,B,B,C,F,C,B,66.75,25.10,5.00,251.00,168.00,2.11,2.00,1.00,-2.60,2.15,1.88,5.70,"Operates securities and commodity exchanges","Investment Banks/Brokers",43,4,23,18,29
CMG,"Chipotle Mexican Grill, Inc.",B,Conservative,B,C,C,A,A,C,D,F,C,A,44.45,50.18,0.00,1747.94,1204.01,5.70,-6.86,2333.26,15.48,8.87,55.62,24.72,"Develops and operates fast-casual, fresh Mexican food restaurants",Restaurants,51,3,11,2,11
CMI,"Cummins Inc.",B,Conservative,A,C,B,B,A,D,C,F,D,A,31.82,14.90,2.49,258.06,185.89,4.26,0.05,8075.43,26.47,4.65,9.08,11.52,"Designs, manufactures and distributes diesel and natural gas engines & electric and hybrid powertrains and powertrain-related components","Trucks/Construction/Farm Machinery",36,4,4,16,18
CMTG,"Claros Mortgage Trust, Inc.",D,Moderate,D,D,B,F,F,D,D,B,F,C,1.59,14.31,10.00,20.71,11.50,0.24,-0.34,84.11,45.20,0.38,59.25,4.94,"Functions as real estate investment trust","Real Estate Investment Trusts",209,97,15,10,58
CNA,"CNA Financial Corporation",D,Conservative,D,C,D,B,C,B,C,D,A,B,9.96,11.20,4.00,50.00,36.00,1.16,4.30,3.00,27.80,1.26,8.64,14.40,"Provides property, casualty, and health insurance products and services","Multi-Line Insurance",35,12,2,10,15
CNC,"Centene Corporation",D,Conservative,F,D,C,F,F,B,C,D,D,C,34.45,30.80,0.00,97.00,63.00,1.83,5.20,36.00,-2.90,2.00,9.34,12.10,"Operates as a multi-line healthcare enterprise","Managed Health Care",9,5,8,4,5
CNP,"CenterPoint Energy, Inc.",B,Conservative,B,C,B,A,D,B,D,D,F,B,18.29,18.20,2.00,33.00,26.00,0.47,-2.00,2.00,2.30,0.51,7.79,7.70,"Provides power generation and electrical distribution services","Electric Utilities",70,23,21,11,17
CNXC,"Concentrix Corporation",D,Conservative,F,C,C,C,C,D,D,F,C,B,6.11,14.50,1.00,203.00,110.00,2.85,-9.60,1.00,6.00,2.60,-8.95,5.70,"Provides analytics consulting services","Miscellaneous Commercial Services",167,21,54,36,75
COF,"Capital One Financial Corp",D,Conservative,D,D,B,D,D,D,F,F,C,B,34.21,5.00,3.00,142.00,88.00,5.62,-27.20,8.00,10.00,4.12,-26.77,-3.40,"Operates as a holding company which provides credit cards and financial products","Major Banks",89,20,46,75,74
COP,ConocoPhillips,B,Conservative,B,C,B,B,B,D,D,F,D,A,115.52,6.50,2.00,135.00,82.00,3.27,-0.50,16.00,-16.00,2.46,-24.77,-9.90,"Engages in the exploration, production, transport, and marketing of crude oil, bitumen and natural gas","Oil & Gas Production",47,1,23,17,31
COTY,"Coty Inc. Class A",B,Conservative,A,B,D,B,B,A,A,A,B,C,9.27,86.60,0.00,12.00,6.00,0.03,41.80,1.00,1.50,0.03,16.01,23.20,"Manufactures and distributes fragrances, skin care, cosmetics and body care products","Household/Personal Care",22,8,8,2,5
CP,"Canadian Pacific Railway Limited",B,Conservative,B,B,C,A,A,C,C,C,C,B,71.92,26.61,1.00,83.58,66.70,0.52,5.36,1.00,21.42,0.70,33.87,15.47,"Provides rail and intermodal transportation services",Railroads,6,3,1,1,1
